word,count
the,1668
and,839
to,785
a,664
of,595
she,499
it,495
said,456
in,409
I,400
Alice,385
you,359
was,353
that,269
as,255
her,243
with,219
at,213
on,200
all,188
had,177
for,161
be,161
not,151
this,150
or,147
but,131
very,127
little,125
so,124
The,118
is,115
out,113
they,109
up,99
about,99
down,98
he,98
his,94
its,93
one,92
what,91
were,87
know,85
like,84
them,84
went,83
herself,83
again,82
do,81
if,81
Project,77
have,77
no,76
thought,74
could,73
by,72
any,71
would,70
when,70
then,69
into,67
And,67
Queen,67
see,66
time,65
off,62
your,62
me,61
are,60
did,59
King,59
began,58
an,56
Mock,56
Turtle,56
my,55
Im,55
Gryphon,55
way,54
Hatter,54
quite,53
much,52
other,52
work,52
You,51
must,51
who,51
dont,51
think,50
say,50
their,50
Gutenbergtm,50
there,49
thing,49
some,48
from,48
head,48
go,47
only,47
more,47
which,46
now,46
voice,46
looked,45
such,45
got,45
get,44
just,44
can,44
first,42
It,42
round,41
Rabbit,40
over,40
never,40
came,40
What,40
tone,40
how,39
here,39
great,39
Duchess,39
Dormouse,39
been,38
well,37
before,37
But,37
back,37
him,37
after,36
She,35
March,34
without,33
large,33
found,33
Ive,33
Oh,32
long,32
last,32
put,31
right,31
two,31
Hare,31
works,31
nothing,30
made,30
things,30
Ill,30
heard,30
If,30
looking,30
once,29
moment,29
should,29
door,29
will,29
Mouse,29
replied,29
dear,28
next,28
make,28
upon,28
might,28
away,27
So,27
eyes,27
There,27
seemed,27
look,27
going,27
tell,27
cant,27
use,26
may,26
Why,26
come,26
three,26
Caterpillar,26
day,25
shall,25
too,25
How,25
rather,25
than,25
poor,25
we,25
course,25
electronic,25
Gutenberg,24
good,24
soon,24
same,24
wont,24
Cat,24
set,23
took,23
Well,23
felt,23
added,23
Its,23
getting,22
White,22
another,22
wish,22
This,21
under,21
words,21
half,21
find,21
minute,21
till,21
Then,21
terms,20
sort,20
ever,20
cried,20
Come,20
sure,20
Foundation,20
feet,19
tried,19
anything,19
hand,19
curious,19
while,19
They,19
being,19
YOU,19
He,19
old,19
take,18
wonder,18
even,18
house,18
No,18
yet,18
A,17
end,17
eat,17
question,17
side,17
table,17
sat,17
enough,17
something,17
asked,17
jury,17
court,17
agreement,17
ran,16
Do,16
talking,16
bit,16
turned,16
theres,16
hastily,16
doesnt,16
As,16
spoke,16
both,16
Thats,16
full,16
idea,15
people,15
youre,15
through,15
saying,15
high,15
garden,15
knew,15
indeed,15
because,15
am,15
used,15
done,15
called,15
us,15
beginning,14
hear,14
itself,14
ought,14
seen,14
saw,14
near,14
thats,14
didnt,14
air,14
perhaps,14
remember,14
low,14
trying,14
However,14
For,14
face,14
left,14
anxiously,14
please,14
change,14
these,14
talk,14
better,14
OF,13
THE,13
close,13
VERY,13
many,13
cats,13
behind,13
certainly,13
size,13
gave,13
grow,13
far,13
kept,13
Who,13
sea,13
why,13
Dodo,13
whole,13
room,13
gone,13
cook,13
mad,13
Soup,13
dance,13
Alices,12
copy,12
give,12
CHAPTER,12
suddenly,12
In,12
wouldnt,12
still,12
among,12
afraid,12
every,12
small,12
begin,12
THAT,12
read,12
finished,12
makes,12
life,12
speak,12
deal,12
try,12
hands,12
suppose,12
turning,12
Of,12
Yes,12
arm,12
where,12
baby,12
tea,12
Majesty,12
Literary,12
Archive,12
whether,11
hurried,11
glad,11
word,11
ask,11
name,11
Dinah,11
cat,11
Now,11
really,11
hurry,11
waited,11
minutes,11
game,11
hardly,11
growing,11
help,11
nearly,11
We,11
always,11
silence,11
Bill,11
Id,11
wasnt,11
Pigeon,11
Off,11
copyright,11
donations,11
License,10
sitting,10
having,10
own,10
either,10
Let,10
lessons,10
though,10
heads,10
else,10
sight,10
walked,10
opened,10
few,10
bottle,10
children,10
best,10
tears,10
against,10
child,10
yourself,10
gloves,10
fan,10
queer,10
different,10
thinking,10
offended,10
When,10
creatures,10
rest,10
mean,10
keep,10
mouth,10
most,10
repeated,10
theyre,10
remarked,10
remark,10
soldiers,10
witness,10
United,10
States,10
access,10
paragraph,10
THIS,9
mind,9
opportunity,9
written,9
mouse,9
couldnt,9
answer,9
matter,9
hall,9
glass,9
key,9
rate,9
those,9
NOT,9
want,9
pool,9
everything,9
tail,9
That,9
foot,9
Not,9
conversation,9
birds,9
party,9
At,9
continued,9
believe,9
angrily,9
shook,9
reason,9
together,9
place,9
shouted,9
timidly,9
puzzled,9
interrupted,9
Knave,9
agree,9
join,9
trademark,9
almost,8
sister,8
feel,8
making,8
slowly,8
happen,8
coming,8
noticed,8
top,8
Which,8
Would,8
seem,8
dry,8
waiting,8
marked,8
fact,8
followed,8
person,8
lying,8
white,8
ready,8
hard,8
changed,8
live,8
play,8
learn,8
our,8
youd,8
Dont,8
eagerly,8
meaning,8
IS,8
explain,8
running,8
others,8
Youre,8
window,8
does,8
least,8
Here,8
business,8
appeared,8
each,8
mushroom,8
havent,8
nose,8
free,8
Theres,8
beautiful,8
days,8
asleep,8
Queens,8
gardeners,8
moral,8
whiting,8
associated,8
public,8
forth,8
fee,8
refund,8
laws,8
English,7
tired,7
book,7
watch,7
world,7
deep,7
First,7
fall,7
listen,7
itll,7
manage,7
begun,7
dream,7
middle,7
wondering,7
golden,7
open,7
larger,7
bright,7
happened,7
neck,7
ME,7
hold,7
feeling,7
however,7
leave,7
generally,7
eye,7
surprised,7
kind,7
Just,7
distance,7
hair,7
goes,7
frightened,7
chin,7
number,7
hadnt,7
understand,7
history,7
sentence,7
beg,7
subject,7
let,7
Lory,7
means,7
has,7
trial,7
story,7
YOUR,7
stood,7
grown,7
wood,7
trees,7
isnt,7
turn,7
draw,7
silent,7
Footman,7
Cheshire,7
pleased,7
song,7
Five,7
hedgehog,7
lobsters,7
Soooop,7
writing,7
slates,7
domain,7
permission,7
distributing,7
copies,7
provide,7
eBook,6
trouble,6
late,6
fell,6
four,6
nice,6
Please,6
leaves,6
jumped,6
roof,6
second,6
inches,6
forgotten,6
After,6
croquet,6
shoes,6
myself,6
nonsense,6
himself,6
sir,6
oh,6
times,6
repeat,6
grin,6
pardon,6
trembling,6
fetch,6
sit,6
important,6
politely,6
WHAT,6
notice,6
melancholy,6
One,6
liked,6
executed,6
ARE,6
broken,6
outside,6
below,6
loud,6
sharp,6
puppy,6
arms,6
state,6
youth,6
serpent,6
sleep,6
sneezing,6
told,6
ear,6
While,6
pig,6
dreadfully,6
using,6
Two,6
Hearts,6
exclaimed,6
breadandbutter,6
part,6
received,6
tarts,6
evidence,6
charge,6
OR,6
distribution,6
